en_us                          "English"

< USER INTERFACE DEFINITIONS >
main_game_title                "Arbolite"
pause_menu_paused              "Paused"
pause_menu_resume              "Resume"
pause_menu_settings            "Settings"
pause_menu_mainmenu            "Main Menu"
pause_menu_feedback            "Feedback"
pause_menu_photomode           "Photo Mode"
no_translation_found           "does not exist for language"
ok_button                      "Ok"
delete_modal_info              "You are about to destroy"
delete_modal_title             "Confirm Destruction?"
confirm_button                 "Confirm"
cancel_button                  "Cancel"
back_button                    "Back"
use_button                     "Use"
fill_button                    "Make"
save_button                    "Save"
reset_button                   "Reset"
info_button                    "Info"
close_button                   "Close"
plants_button                  "Plants"
mech_button                    "Mech"
harvest_button                 "Collect"
items_button                   "Items"
item_subtitle                  "Item"
items_counter                  "Items"
inspector_info_title           ""
inspector_info_info            ""
settings_menu_title            "Settings"
inspector_info_delete          "Destroy"
console_modal_title            "Console"
resources_available_title      "Available Resources"
available_resources_info       "Select a resource to make the blueprint with"

setting_header_video           "Video"
setting_header_audio           "Audio"
setting_header_contols         "Controls"
setting_header_keybinds        "Keybinds"
setting_vSync                  "V-Sync"
setting_rainFX                 "Rain & Snow"
setting_fullscreen             "Fullscreen Mode"
setting_parallax               "Parallax Effect"
setting_daynight               "Do Daylight Cycle"
setting_postProcess            "Post Processing"
setting_antiAliasing           "Anti Aliasing"
setting_colourBlind            "Colour Blind Mode"
setting_clouds                 "Show Clouds"
setting_fadeBkgAudio           "UI Low Pass"
setting_musicVolume            "Music Volume"
setting_InterfaceVolume        "UI Volume"
setting_AmbientVolume          "Ambient Volume"
setting_zoomToMouse            "Zoom To Cursor"
setting_invertScoll            "Invert Scroll"
setting_SmoothCamera           "Smooth Zooming"
setting_showSubtitles          "Show Subtitles"
setting_textScaler             "Text Scale"
setting_languageOption         "Language"
setting_developerMode          "Developer Mode"
setting_keyBindUp              "Move Up"
setting_keyBindDown            "Move Down"
setting_keyBindRight           "Move Right"
setting_keyBindLeft            "Move Left"
setting_keyBindCloseUI         "Close UI"
setting_keyBindPause           "Pause Game"
setting_keyBindOpenInv         "Open Inventory"

no_plant_in_tile               "Nothing Here"
mechinfo_producing             "Producing"
mechinfo_energy_use            "Energy Usage"
mechinfo_energy_produce        "Energy Production"
mechinfo_energy_carry          "Energy Carrying"
mechinfo_state                 "State"

homepage_title_main            "Home"
homepage_title_building        "Building"
homepage_title_advancements    "Advancements"
homepage_title_market          "Market"

homepage_building_buildings    "Buildings"
homepage_building_blueprints   "Blueprints"
homepage_building_button_use   "Use"


< NOTIFICATIONS >
name_successfully_destroyed_tiles   "Destroyed!"
info_successfully_destroyed_tiles   "Successfully Destroyed #0# Tiles"
name_toggle_dev_mode                "Developer Mode #0#"
info_toggle_dev_mode                "Press enter to open the console"
name_container_full                 "Container Full"
info_container_full                 ""


< ERROR MESSAGES >
error_modal_title              "Oops! There was an error"
error_modal_info               "An error occured somewhere! If this keeps happening please submit a bug report so the developers can fix it."
overflow_error_message         "There was an overflow of data. Maybe trying to do too much at once?"
interface_not_found_error_message "That page can't be found."



< TILE NAMES AND INFO >
name_tile_bedrock              "Bedrock"
info_tile_bedrock              "Not gonna find any plants here"
name_tile_grass                "Grass"
info_tile_grass                "It covers the ground"



< ROOM NAMES AND INFO >
name_room_hallway              "Basic Hallway"
info_room_hallway              "This is the info box for the hallway"



< PROPERTY TYPES >
proptype_none                  "None"
proptype_species               "Species"
proptype_resource              "Resource"
proptype_biome                 "Biome"
proptype_style                 "Style"
proptype_rarity                "Rarity"
proptype_age                   "Age"
proptype_machinestate          "Machine State"



< PROPERTY INFO >
name_prop_rarity_common        "Common"
info_prop_rarity_common        "The least valuable type of item"
name_prop_rarity_uncommon      "Uncommon"
info_prop_rarity_uncommon      "Not the easiest to find"
name_prop_rarity_rare          "Rare"
info_prop_rarity_rare          "Pretty hard to get"
name_prop_rarity_legendary     "Legendary"
info_prop_rarity_legendary     "Insanely hard to get"
name_prop_rarity_unobtainable  "Unobtainable"
info_prop_rarity_unobtainable  "One of a kind"

name_prop_biome_mountains      "Mountains"
info_prop_biome_mountains      "The main world where you can live"

name_prop_species_oak          "Oak"
info_prop_species_oak          ""
name_prop_species_birch        "Birch"
info_prop_species_birch        ""
name_prop_species_cherry       "Cherry"
info_prop_species_cherry       ""
name_prop_species_elm          "Elm"
info_prop_species_elm          ""

name_prop_style_sapling        "Sapling"
info_prop_style_sapling        ""
name_prop_style_bush           "Bush"
info_prop_style_bush           ""
name_prop_style_tree           "Tree"
info_prop_style_tree           ""

name_prop_resource_dirt        "Dirt"
info_prop_resource_dirt        "Plants can grow on it!"
name_prop_resource_stone       "Stone"
info_prop_resource_stone       "Idk"

name_prop_age_age0             "Seeded"
info_prop_age_age0             "Not yet grown"
name_prop_age_age1             "Sprouting"
info_prop_age_age1             ""
name_prop_age_age2             "Young"
info_prop_age_age2             ""
name_prop_age_age3             "Growing"
info_prop_age_age3             ""
name_prop_age_age4             "Grown"
info_prop_age_age4             ""
name_prop_age_age5             "Mature"
info_prop_age_age5             ""
name_prop_age_age6             "Old"
info_prop_age_age6             ""
name_prop_age_age7             "Dead"
info_prop_age_age7             ""
name_prop_age_age8             "Decayed"
info_prop_age_age8             ""

name_prop_machinestate_broken  "Broken"
info_prop_machinestate_broken  "Broken"
name_prop_machinestate_working "Working"
info_prop_machinestate_working "Working"
name_prop_machinestate_off     "Off"
info_prop_machinestate_off     "Off"
